a.year,a.category,a.actor,a.title
2010,Actor-Leading Role,Colin Firth,The King's Speech
2010,Actor-Supporting Role,Christian Bale,The Fighter
2010,Actress-Leading Role,Natalie Portman,Black Swan
2010,Actress-Supporting Role,Melissa Leo,The Fighter
2009,Actor-Leading Role,Jeff Bridges,Crazy Heart
2009,Actor-Supporting Role,Christoph Waltz,Inglourious Basterds
2009,Actress-Leading Role,Sandra Bullock,The Blind Side
2009,Actress-Supporting Role,Mo'Nique,Precious: Based on the Novel 'Push' by Sapphire
2008,Actor-Leading Role,Sean Penn,Milk
2008,Actor-Supporting Role,Heath Ledger,The Dark Knight
2008,Actress-Leading Role,Kate Winslet,The Reader
2008,Actress-Supporting Role,Penelope Cruz,Vicky Cristina Barcelona
2007,Actor-Leading Role,Daniel Day-Lewis,There Will Be Blood
2007,Actor-Supporting Role,Javier Bardem,No Country for Old Men
2007,Actress-Leading Role,Marion Cotillard,La Vie en Rose
2007,Actress-Supporting Role,Tilda Swinton,Michael Clayton
2006,Actor-Leading Role,Forest Whitaker,The Last King of Scotland
2006,Actor-Supporting Role,Alan Arkin,Little Miss Sunshine
2006,Actress-Leading Role,Helen Mirren,The Queen
2006,Actress-Supporting Role,Jennifer Hudson,Dreamgirls
2005,Actor-Leading Role,Philip Seymour Hoffman,Capote
2005,Actor-Supporting Role,George Clooney,Syriana
2005,Actress-Leading Role,Reese Witherspoon,Walk the Line
2005,Actress-Supporting Role,Rachel Weisz,The Constant Gardener
2004,Actor-Leading Role,Jamie Foxx,Ray
2004,Actor-Supporting Role,Morgan Freeman,Million Dollar Baby
2004,Actress-Leading Role,Hilary Swank,Million Dollar Baby
2004,Actress-Supporting Role,Cate Blanchett,The Aviator
2003,Actor-Leading Role,Sean Penn,Mystic River
2003,Actor-Supporting Role,Tim Robbins,Mystic River
2003,Actress-Leading Role,Charlize Theron,Monster
2003,Actress-Supporting Role,Renee Zellweger,Cold Mountain
2002,Actor-Leading Role,Adrien Brody,The Pianist
